"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse"
6,19,53,6,818,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,6,992,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,7,49,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,7,107,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,7,453,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,7,742,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,8,146,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,8,665,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,9,358,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,10,281,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,19,53,10,628,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,10,916,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,52,54,872,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,56,26,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,57,180,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,59,489,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,1,797,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,5,260,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,6,414,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,53,9,820,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,10,974,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,11,320,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,11,378,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,11,667,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,11,724,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,11,840,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,11,897,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,12,936,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,13,283,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,13,629,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,13,917,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,14,20,,,,,,,,,,,,,,,,,,,,,,,,2,,
6,19,53,15,303,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,15,995,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,16,168,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,16,976,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,17,34,,,,,,,,,,,,,,,,,1,,,,,,,1,,
6,19,53,17,149,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,17,611,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,17,842,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,18,535,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,18,996,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,19,285,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,19,573,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,19,747,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,20,554,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,20,785,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,21,247,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,21,824,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,21,882,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,22,286,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,22,863,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,24,306,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,26,268,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,26,499,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,26,614,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,26,788,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,26,903,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,27,192,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,27,288,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,27,398,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,27,577,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,27,750,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,27,808,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,27,981,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,30,539,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,30,943,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,32,675,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,35,964,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,36,80,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,36,715,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,37,176,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,38,388,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,38,677,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,40,350,,,,1,,,,,,,,,,,,,,,,,,,,,,
