Downcast,Hour,minute,second,s/1000,Count,App_in_hse
5,19,37,15,220,0,0
5,19,37,15,509,0,0
5,19,37,0,561,0,1
5,19,37,2,812,0,1
5,19,37,7,429,0,1
5,19,37,13,200,0,1
5,19,37,14,355,0,1
5,19,37,15,682,0,0
5,19,37,16,86,0,0
5,19,37,17,875,0,0
5,19,37,17,933,0,0
5,19,37,18,337,0,0
5,19,37,18,626,0,0
5,19,37,19,549,0,0
5,19,37,20,415,0,0
5,19,37,20,472,0,0
5,19,37,20,588,0,0
5,19,37,20,646,0,0
5,19,37,20,934,0,0
5,19,37,21,338,0,0
5,19,37,21,569,0,0
5,19,37,21,627,0,0
5,19,37,21,684,0,0
5,19,37,21,973,0,0
5,19,37,22,608,0,0
5,19,37,22,954,0,0
5,19,37,23,12,0,0
5,19,37,23,589,0,0
5,19,37,23,647,0,0
5,19,37,23,878,0,0
5,19,37,24,282,0,0
5,19,37,24,685,0,0
5,19,37,24,743,0,0
5,19,37,25,89,0,0
5,19,37,25,147,0,0
5,19,37,25,320,0,0
5,19,37,25,551,0,0
5,19,37,25,609,0,0
5,19,37,25,840,0,0
5,19,37,25,955,0,0
5,19,37,26,13,0,0
5,19,37,26,359,0,0
5,19,37,26,590,0,0
5,19,37,26,936,0,0
5,19,37,28,206,0,0
5,19,37,28,725,0,0
5,19,37,28,841,0,0
5,19,37,29,360,0,0
5,19,37,29,649,0,0
5,19,37,29,707,0,0
5,19,37,29,764,0,0
5,19,37,30,111,0,0
5,19,37,30,226,0,0
5,19,37,30,341,0,0
5,19,37,30,572,0,0
5,19,37,30,688,0,0
5,19,37,30,745,0,0
5,19,37,30,919,0,0
5,19,37,31,265,0,0
5,19,37,31,380,0,0
5,19,37,31,669,0,0
5,19,37,31,727,0,0
5,19,37,31,842,0,0
5,19,37,32,15,0,0
5,19,37,32,188,0,0
5,19,37,32,304,0,0
5,19,37,32,361,0,0
5,19,37,32,419,0,0
5,19,37,32,592,0,0
5,19,37,16,779,0,1
5,19,37,22,550,0,2
5,19,37,23,704,0,1
5,19,37,24,859,0,1
5,19,37,28,321,0,1
5,19,37,29,479,0,1
5,19,37,30,630,0,1
5,19,37,32,939,0,1
5,19,38,10,280,0,0
5,19,38,12,589,0,0
5,19,38,13,281,0,0
5,19,38,28,633,0,0
5,19,38,34,520,0,0
5,19,38,37,983,0,0
5,19,38,26,267,0,1
5,19,38,45,775,0,0
5,19,38,48,488,0,0
5,19,38,54,144,0,0
5,19,38,56,279,0,1
5,19,39,1,300,0,0
5,19,39,2,339,0,0
5,19,39,2,397,0,0
5,19,39,3,147,0,0
5,19,39,3,378,0,0
5,19,39,3,493,0,0
5,19,39,10,477,0,0
5,19,39,10,650,0,0
5,19,39,12,670,0,0
5,19,39,14,574,0,0
5,19,39,15,440,0,0
5,19,39,16,75,0,0
5,19,39,3,320,0,1
5,19,39,17,576,0,0
5,19,39,17,980,0,0
5,19,39,18,37,0,0
5,19,39,19,711,0,0
5,19,39,20,865,0,0
5,19,39,21,443,0,0
5,19,39,21,789,0,0
5,19,39,23,463,0,0
5,19,39,25,252,0,0
5,19,39,26,637,0,0
5,19,39,27,214,0,0
5,19,39,27,387,0,0
5,19,39,28,310,0,0
5,19,39,30,446,0,0
5,19,39,32,754,0,0
5,19,39,33,620,0,0
5,19,39,21,847,0,1
5,19,39,23,1,0,1
5,19,40,10,846,0,0
5,19,40,12,289,0,0
5,19,40,12,693,0,0
5,19,40,14,828,0,0
5,19,40,15,175,0,0
5,19,40,15,809,0,0
5,19,40,16,791,0,0
5,19,40,18,118,0,0
5,19,40,18,868,0,0
5,19,40,19,272,0,0
5,19,40,19,849,0,0
5,19,40,20,542,0,0
5,19,40,20,773,0,0
5,19,40,24,409,0,0
5,19,40,24,640,0,0
5,19,40,25,505,0,0
5,19,40,26,602,0,0
5,19,40,32,373,0,0
5,19,40,33,66,0,0
5,19,40,36,760,0,0
5,19,40,42,877,0,0
5,19,40,43,570,0,0
5,19,40,38,260,0,1
5,19,40,44,90,0,0
5,19,40,46,571,0,0
5,19,40,52,400,0,0
5,19,40,53,324,0,0
5,19,40,55,632,0,0
5,19,40,55,978,0,0
5,19,40,56,209,0,0
5,19,40,56,267,0,0
5,19,40,59,441,0,0
5,19,41,0,365,0,0
5,19,41,3,308,0,0
5,19,41,9,599,0,0
5,19,41,11,850,0,0
5,19,41,12,196,0,0
5,19,41,13,928,0,0
5,19,41,15,717,0,0
5,19,41,16,929,0,0
5,19,41,16,986,0,0
5,19,41,17,44,0,0
5,19,41,17,217,0,0
5,19,41,9,541,0,0
5,19,41,19,353,0,0
5,19,41,24,721,0,0
5,19,41,25,298,0,0
5,19,41,33,609,0,0
5,19,41,19,988,0,0
5,19,41,30,319,0,0
5,19,41,32,628,0,0
5,19,41,36,898,0,0
5,19,41,37,71,0,0
5,19,41,42,612,0,0
5,19,41,43,74,0,0
5,19,41,43,420,0,0
5,19,41,43,940,0,0
5,19,41,47,345,0,0
5,19,41,54,848,0,0
5,19,41,57,676,0,0
5,19,42,1,370,0,0
5,19,42,2,5,0,0
5,19,42,2,813,0,0
5,19,42,3,967,0,0
5,19,42,4,659,0,0
5,19,42,5,756,0,0
5,19,42,7,718,0,0
5,19,42,7,891,0,0
5,19,42,18,396,0,0
5,19,42,19,319,0,0
5,19,42,20,11,0,0
5,19,42,20,127,0,0
5,19,42,23,705,0,0
5,19,42,26,879,0,0
5,19,42,21,339,0,0
