dateTime,bx,by,width,height,angle,length,group
10-15-10200307660,1256,1079,84,16,10.784,85.51,Doliolids
10-15-10200312392,441,746,60,16,14.931,62.097,Doliolids
10-15-10202157653,238,1224,66,8,6.911,66.483,Doliolids
10-15-10202157653,349,1215,49,21,23.199,53.748,Doliolids
10-15-10202157826,1932,1004,1,45,-88.727,45.338,Doliolids
10-15-10202201750,1597,285,24,28,49.399,36.878,Doliolids
10-15-10202202328,1347,1355,64,4,-3.576,64.125,Doliolids
10-15-10202202328,1050,1582,7,10,55.008,12.207,Oikopleuridae
10-15-10202202328,1560,1062,6,11,-61.39,12.093,Oikopleuridae
10-15-10202201750,589,633,11,4,-18.435,12.019,Oikopleuridae
10-15-10202157826,1080,1227,7,6,-40.601,8.902,Oikopleuridae
10-15-10202157653,1063,53,5,10,-60.945,10.512,Oikopleuridae
10-15-10200312392,428,1517,10,7,-30.964,11.927,Oikopleuridae
10-15-10200307660,500,320,11,6,-28.61,12.824,Oikopleuridae
10-15-10200250865,1686,1536,6,9,-56.31,10.548,Oikopleuridae
10-15-10200250865,1762,1682,13,1,-4.399,13.038,Oikopleuridae
10-15-10200250865,1528,1825,9,7,-37.875,11.402,Oikopleuridae
10-15-10200250865,1594,1123,0,11,-90,10.667,Oikopleuridae
10-15-10200250865,1944,971,4,9,-63.435,9.192,Oikopleuridae
10-15-10200250865,1157,840,9,11,-51.34,13.744,Oikopleuridae
10-15-10200250865,1004,620,10,3,-11.31,10.349,Oikopleuridae
10-15-10200250865,1168,208,7,0,0,7.333,Oikopleuridae
10-15-10200250865,1593,29,10,1,5.711,9.718,Oikopleuridae
10-15-10200245901,457,39,6,13,-66.801,14.621,Oikopleuridae
10-15-10200239668,1483,1115,5,10,-63.435,11.035,Oikopleuridae
10-15-10200239668,1331,1782,9,6,33.69,10.541,Oikopleuridae
10-15-10200239668,1094,1136,8,10,51.34,12.806,Oikopleuridae
10-15-10200239149,1265,1492,6,9,-123.69,10.124,Oikopleuridae
10-16-10011815154,148,69,15,15,-45,21.213,Oikopleuridae
10-15-10001700670,267,230,44,31,-35.166,53.824,Oikopleuridae
10-15-10001256653,71,34,12,8,-36.027,14.146,Oikopleuridae
10-15-10001651724,284,205,21,31,-124.114,37.443,Oikopleuridae
10-15-10001707538,558,105,8,41,-101.041,41.446,Oikopleuridae
10-15-10002928534,49,54,1,10,-90,9.763,Oikopleuridae
10-15-10002928534,58,54,14,7,-28.301,15.355,Oikopleuridae
10-15-10003424727,50,35,21,3,8.531,20.652,Oikopleuridae
10-15-10211039683,34,45,7,9,56.31,11.2,Oikopleuridae
10-15-10211436948,43,87,16,23,-124.824,27.554,Oikopleuridae
10-15-10221435567,20,24,9,10,-131.987,13.269,Oikopleuridae
10-15-10221435567,23,35,14,10,-142.431,16.653,Oikopleuridae
10-15-10221435567,23,34,14,11,-141.843,17.301,Oikopleuridae
10-15-10221610623,100,54,22,35,-120.964,40.651,Oikopleuridae
10-15-10221613047,91,55,17,8,-25.201,19.09,Oikopleuridae
10-15-10221613047,66,34,4,12,-67.38,12.758,Oikopleuridae
10-15-10221942782,92,150,4,41,-95.572,41.195,Oikopleuridae
10-15-10225059429,284,803,15,32,-63.435,35.484,Oikopleuridae
10-15-10225105893,29,65,21,6,-15.945,21.934,Oikopleuridae
10-15-10225111318,284,264,18,24,-53.531,29.3,Oikopleuridae
10-15-10230315925,61,30,17,7,-19.44,18.571,Oikopleuridae
10-15-10211039740,141,162,4,9,-113.962,9.657,Kowaleskiidae
10-17-10042421327,143,130,12,3,-9.462,12.618,Kowaleskiidae
10-17-10042421327,168,82,1,9,-84.289,9.428,Kowaleskiidae
10-17-10042421327,160,152,13,5,21.038,13.928,Kowaleskiidae
10-17-10042420462,312,208,16,9,-29.358,18.068,Kowaleskiidae
10-17-10042420462,209,112,0,16,-90,16.333,Kowaleskiidae
10-17-10042420346,164,137,1,11,-85.236,11.353,Kowaleskiidae
10-17-10042420288,137,152,13,5,-26.565,13.744,Kowaleskiidae
10-17-10042420058,190,167,21,12,-150.255,24.354,Kowaleskiidae
10-17-10042420058,143,209,18,7,-21.251,19.437,Kowaleskiidae
10-17-10042420058,119,128,6,8,-126.87,9.735,Kowaleskiidae
10-17-10042419942,91,177,16,2,7.125,16.319,Kowaleskiidae
10-17-10042419942,165,119,6,11,-61.39,12.824,Kowaleskiidae
10-17-10042419711,235,174,13,3,-12.995,13.421,Kowaleskiidae
10-17-10042419711,151,112,3,6,-116.565,6.6,Kowaleskiidae
10-17-10042419654,183,125,11,14,-51.843,17.754,Kowaleskiidae
10-17-10042413189,195,149,10,4,-160.017,11.205,Kowaleskiidae
10-17-10041021523,138,201,17,4,-13.241,17.464,Kowaleskiidae
10-17-10041018810,188,149,19,2,-6.009,19.437,Kowaleskiidae
10-16-10234840829,165,164,1,10,-84.289,10.419,Kowaleskiidae
10-16-10234836847,107,93,11,2,-168.69,10.919,Kowaleskiidae
10-16-10193551131,111,64,8,0,0,7.674,Kowaleskiidae
10-15-10204007880,192,143,3,16,-75.069,16.017,Kowaleskiidae
10-15-10204004071,130,97,14,0,0,13.75,Kowaleskiidae
10-15-10204006380,156,173,0,10,-90,10.339,Kowaleskiidae
10-15-10204007130,171,152,6,7,-125.538,9.006,Kowaleskiidae
10-17-10033334055,108,154,54,1,1.061,54.009,Fritillaridae
10-17-10032143645,234,192,20,71,-74.268,73.763,Fritillaridae
10-17-10032137701,86,158,79,2,1.45,79.025,Fritillaridae
