Transect,Downcast,Inshore/Offshore/Front,File,hour,min,sec,s/1000,Frame,Lowest Classification,In/Out,Size,Degradation
10/15/10,5,Inshore,8,21,11,44,171,241,Oik-like,Out,Sm,0
10/15/10,5,Inshore,9,21,12,1,468,161,Oik-like,In,Sm,-
10/15/10,5,Inshore,9,21,12,1,468,201,Oik-like,Out,Med,0
10/15/10,5,Inshore,10,21,12,18,828,21,Oik-like,Out,Tiny,0
10/15/10,5,Inshore,10,21,12,18,828,241,Oik-like,Out,Med,0
10/15/10,5,Inshore,10,21,12,18,828,241,Oik-like,Out,Sm,0
10/15/10,5,Inshore,12,21,12,53,578,241,Oik-n,Out,Lg,0
10/15/10,5,Inshore,13,21,13,11,109,101,Oik-n,Out,Lg,0
10/15/10,5,Inshore,13,21,13,11,109,121,Oik-n,Out,Lg,0
10/15/10,5,Inshore,13,21,13,11,109,141,Oik-n,Out,Lg,0
10/15/10,5,Inshore,13,21,13,11,109,181,Unk,Out,Lg,0
10/15/10,5,Inshore,13,21,13,11,109,221,Oik-n,In,Lg,2
10/15/10,5,Inshore,14,21,13,28,484,61,Oik-n,In,Med,Unk
10/15/10,5,Inshore,14,21,13,28,484,61,Oik-n,Out,Lg,0
10/15/10,5,Inshore,14,21,13,28,484,101,Oik-n,Out,Lg,0
10/15/10,5,Inshore,14,21,13,28,484,161,Oik-n,Out,Lg,0
10/15/10,5,Inshore,15,21,13,45,765,1,Oik-n,Out,Lg,0
10/15/10,5,Inshore,15,21,13,45,765,41,Oik-n,Out,Lg,0
10/15/10,5,Inshore,15,21,13,45,765,81,Unk,In,Lg,1
10/15/10,5,Inshore,15,21,13,45,765,161,Oik-n,Out,Lg,0
10/15/10,5,Inshore,16,21,14,3,125,41,Oik-n,In,Med,1
10/15/10,5,Inshore,16,21,14,3,125,61,Oik-n,Out,Lg,0
10/15/10,5,Inshore,16,21,14,3,125,61,Oik-n,Out,Lg,0
10/15/10,5,Inshore,16,21,14,3,125,121,Oik-n,Out,Lg,0
10/15/10,5,Inshore,16,21,14,3,125,141,Oik-like,Out,Sm,0
10/15/10,5,Inshore,16,21,14,3,125,201,Oik-like,Out,Med,0
10/15/10,5,Inshore,16,21,14,3,125,261,Oik-like,Out,Sm,0
10/15/10,5,Inshore,17,21,14,20,562,41,Oik-n,Out,Lg,0
10/15/10,5,Inshore,17,21,14,20,562,281,Oik-n,In,Lg,1
10/15/10,5,Inshore,18,21,14,37,875,181,Oik-n,Out,Lg,0
10/15/10,5,Inshore,18,21,14,37,875,201,Oik-n,Out,Lg,0
10/15/10,5,Inshore,18,21,14,37,875,261,Oik-n,Out,Lg,0
10/15/10,5,Inshore,19,21,14,55,187,201,Oik-n,In,Sm,2
10/15/10,5,Inshore,20,21,15,12,625,141,Oik-like,Out,Sm,0
10/15/10,5,Inshore,21,21,15,29,968,1,Oik-n,In,Med,3
10/15/10,5,Inshore,21,21,15,29,968,141,Oik-n,In,Lg,2
10/15/10,5,Inshore,21,21,15,29,968,161,Unk,In,Lg,1
10/15/10,5,Inshore,21,21,15,29,968,181,Unk,Out,Lg,0
10/15/10,5,Inshore,21,21,15,29,968,181,Unk,Out,Lg,0
10/15/10,5,Inshore,22,21,15,47,343,1,Oik-n,Out,Lg,0
10/15/10,5,Inshore,22,21,15,47,343,161,Oik-n,Out,Lg,0
10/15/10,5,Inshore,23,21,16,4,812,121,Oik-n,In,Med,2
10/15/10,5,Inshore,25,21,16,39,546,121,Unk,Out,Lg,0
10/15/10,5,Inshore,25,21,16,39,546,221,Oik-n,Out,Lg,0
10/15/10,5,Inshore,25,21,16,39,546,261,Oik-like,Out,Sm,0
10/15/10,5,Inshore,26,21,16,56,906,141,Unk,In,Lg,0
10/15/10,5,Inshore,27,21,17,14,250,181,Oik-n,In,Lg,1
10/15/10,5,Inshore,27,21,17,14,250,241,Unk,Out,Lg,0
10/15/10,6,Inshore,1,21,23,19,125,1,Oik-like,Out,Tiny,0
10/15/10,6,Inshore,1,21,23,19,125,1,Oik-like,Out,Tiny,0
10/15/10,6,Inshore,1,21,23,19,125,1,Oik-like,Out,Tiny,0
10/15/10,6,Inshore,1,21,23,19,125,1,Oik-like,Out,Sm,0
10/15/10,6,Inshore,1,21,23,19,125,1,Oik-like,Out,Sm,0
