"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL"
5,19,36,22,239,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,19,36,23,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,23,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
5,19,36,23,970,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,24,259,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
5,19,36,24,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,24,432,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,
5,19,36,24,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,24,547,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,24,605,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,24,778,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,24,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,25,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
5,19,36,25,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,25,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,25,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,25,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,25,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,25,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,26,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,26,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,26,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,26,279,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,26,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,26,394,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,26,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,26,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,26,625,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,26,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,26,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,26,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
