"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
16,22,39,46,733,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,46,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,46,906,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,30,804,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,39,34,267,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,39,37,672,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,38,826,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,39,39,980,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,46,964,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16,22,39,47,79,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,47,656,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,47,945,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,48,60,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
16,22,39,48,176,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,48,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,48,291,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,49,272,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,49,907,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,49,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,50,196,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,50,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,50,600,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,50,715,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,50,773,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,50,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,51,119,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,51,350,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,51,466,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,51,523,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,51,870,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,51,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,52,43,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,52,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,52,505,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,52,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,53,24,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,53,139,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,53,717,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,53,774,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,54,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,54,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,54,294,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,54,409,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,54,756,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,55,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,55,448,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,55,564,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,56,198,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,56,256,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,56,487,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,56,949,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,57,669,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,57,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,58,45,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
16,22,39,58,103,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,58,219,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,58,334,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,58,392,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,58,565,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,58,738,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,58,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,58,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,59,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,59,315,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
