transect,downcast,year,month,date,hour,min,sec,s/1000,#,BX,BY,Length,Theta,Phi,Phi360
2,28,2010,10,17,2,01,05,765,13,1046,748,171.406,220,48.311,138.311
2,28,2010,10,17,2,01,15,346,1,1048,42,187.297,270,96.746,186.746
2,28,2010,10,17,2,01,15,346,2,1016,476,96.042,40,148.627,301.373
2,28,2010,10,17,2,01,15,346,3,1272,560,184.098,290,91.868,181.868
2,28,2010,10,17,2,01,15,346,4,466,1740,166.481,90,73.96,16.04
2,28,2010,10,17,2,01,17,655,1,1432,58,281.439,55,50.768,39.232
2,28,2010,10,17,2,01,17,655,2,1866,1258,176.918,90,47.291,42.709
2,28,2010,10,17,2,01,17,655,3,572,952,177.2,330,159.52,249.52
2,28,2010,10,17,2,01,33,930,1,892,666,192.51,90,57.301,32.699
2,28,2010,10,17,2,01,33,930,4,468,538,155.666,270,69.702,159.702
2,28,2010,10,17,2,01,33,930,9,204,1786,199.86,335,161.928,251.928
2,28,2010,10,17,2,01,33,930,6,624,1968,189.694,270,114.944,204.944
2,28,2010,10,17,2,01,33,930,8,586,1828,161.307,0,109.558,199.558
2,28,2010,10,17,2,01,33,930,2,912,1176,143.694,270,124.796,214.796
2,28,2010,10,17,2,01,33,930,5,808,64,83.451,200,44.029,134.029
2,28,2010,10,17,2,01,33,930,7,1340,532,236.592,70,72.79,17.21
2,28,2010,10,17,2,01,33,930,3,180,1564,174.011,270,89.341,179.341
2,28,2010,10,17,2,01,46,512,1,1914,462,167.2,90,53.267,36.733
2,28,2010,10,17,2,01,46,512,2,1154,1914,164.584,270,64.058,154.058
2,28,2010,10,17,2,01,46,512,6,1468,362,194.247,10,16.756,106.756
2,28,2010,10,17,2,01,46,512,7,578,672,262.069,245,100.109,190.109
2,28,2010,10,17,2,01,46,512,5,1380,1182,330.218,70,92.083,357.917
2,28,2010,10,17,2,01,46,512,6,1686,706,212.941,35,84.611,5.389
2,28,2010,10,17,2,01,49,628,1,1466,54,205.3,280,42.236,132.236
2,28,2010,10,17,2,01,49,628,2,1910,694,129.692,270,70.168,160.168
2,28,2010,10,17,2,01,49,628,3,1698,1260,172.047,180,178.668,271.332
2,28,2010,10,17,2,01,49,628,4,80,1944,182.888,275,84.352,174.352
2,28,2010,10,17,2,01,49,628,5,640,1536,238.076,280,91.444,181.444
2,28,2010,10,17,2,01,50,436,1,1160,1700,139.284,90,147.907,302.093
2,28,2010,10,17,2,01,50,436,2,94,370,182.888,290,95.648,185.648
2,28,2010,10,17,2,01,52,168,1,450,664,286.44,75,54.09,35.91
2,28,2010,10,17,2,01,52,168,2,700,1752,292.418,270,142.503,232.503
2,28,2010,10,17,2,01,52,168,3,1669,1894,129.027,90,71.003,18.997
2,28,2010,10,17,2,01,52,168,4,1132,730,109.252,90,23.749,66.251
2,28,2010,10,17,2,01,55,631,1,1286,1012,144.9,90,116.211,333.789
2,28,2010,10,17,2,01,55,631,2,1204,546,139.743,90,9.058,80.942
2,28,2010,10,17,2,01,57,939,1,1840,520,207.152,80,100.008,349.992
2,28,2010,10,17,2,01,57,939,2,738,2008,173.77,270,78.043,168.043
2,28,2010,10,17,2,01,57,939,3,598,1668,273.642,20,15.255,74.745
2,28,2010,10,17,2,01,57,939,4,802,24,254.448,290,110.714,200.714
2,28,2010,10,17,2,01,57,939,5,924,1042,139.714,65,103.241,346.759
2,28,2010,10,17,2,02,00,536,1,1566,1076,170.763,270,161.565,251.565
2,28,2010,10,17,2,02,00,536,2,1686,1758,284,180,0,90
2,28,2010,10,17,2,02,00,536,3,992,1196,196.061,300,108.435,198.435
2,28,2010,10,17,2,02,00,825,1,1464,544,362.552,90,148.765,301.235
2,28,2010,10,17,2,02,00,825,3,1770,692,270.007,45,90.424,359.576
2,28,2010,10,17,2,02,00,825,2,1036,1578,194.833,235,58.431,148.431
2,28,2010,10,17,2,02,03,710,1,992,80,104.346,270,102.171,192.171
2,28,2010,10,17,2,02,03,710,2,1118,998,140.057,350,178.363,268.363
2,28,2010,10,17,2,02,03,710,3,378,1252,108.167,270,86.82,176.82
2,28,2010,10,17,2,02,03,710,4,572,1828,235.091,270,80.698,170.698
2,28,2010,10,17,2,02,03,710,5,1270,1412,236.846,270,85.156,175.156
2,28,2010,10,17,2,02,03,710,6,1434,1906,194.031,290,98.297,188.297
2,28,2010,10,17,2,02,03,710,7,1432,46,288.201,240,105.29,195.29
2,28,2010,10,17,2,02,14,157,1,536,770,241.205,310,105.88,195.88
2,28,2010,10,17,2,02,14,157,2,1650,1002,218.961,320,106.449,196.449
2,28,2010,10,17,2,02,14,734,1,1886,1907,164.402,45,53.409,36.591
2,28,2010,10,17,2,02,19,640,1,1602,1204,235.491,90,159.102,290.898
2,28,2010,10,17,2,02,19,640,2,382,1236,204.919,335,155.186,245.186
2,28,2010,10,17,2,02,19,928,1,1026,1044,399.94,50,81.951,8.049
2,28,2010,10,17,2,02,19,928,2,600,1696,366.191,310,130.126,220.126
2,28,2010,10,17,2,02,19,928,3,522,138,127.562,40,138.814,311.186
2,28,2010,10,17,2,02,20,217,1,1576,998,186.387,270,86.309,176.309
2,28,2010,10,17,2,02,20,217,2,1688,1774,209.876,290,97.667,187.667
2,28,2010,10,17,2,02,33,895,1,598,1846,166.012,75,68.07,21.93
2,28,2010,10,17,2,02,33,895,3,208,1714,216.157,270,67.706,157.706
2,28,2010,10,17,2,02,38,224,2,40,668,183.663,270,128.367,218.367
2,28,2010,10,17,2,02,38,224,1,1720,1770,348.264,270,114.063,204.063
2,28,2010,10,17,2,02,38,224,3,1716,786,244.008,45,22.15,67.85
2,28,2010,10,17,2,02,48,497,1,1862,813,142.225,270,115.844,205.844
2,28,2010,10,17,2,02,50,805,2,1808,1566,229.12,55,134.293,315.707
2,28,2010,10,17,2,02,50,805,1,420,1560,160.611,270,174.999,264.999
2,28,2010,10,17,2,02,51,382,4,182,26,296.007,90,143.517,306.483
2,28,2010,10,17,2,02,51,382,2,1132,494,214.56,85,16.239,73.761
2,28,2010,10,17,2,02,51,382,3,920,1090,219.791,270,82.681,172.681
2,28,2010,10,17,2,02,51,382,1,372,850,124.964,90,129.806,320.194
2,28,2010,10,17,2,02,51,960,1,1860,1226,212.302,270,137.291,227.291
2,28,2010,10,17,2,02,51,960,2,52,1378,308.039,90,75.332,14.668
2,28,2010,10,17,2,02,51,960,3,182,24,130.138,90,2.643,87.357
2,28,2010,10,17,2,02,51,960,4,1676,154,210.19,265,153.435,243.435
2,28,2010,10,17,2,02,52,248,1,1674,1536,253.527,90,60.199,29.801
2,28,2010,10,17,2,02,52,248,2,462,1178,198,270,90,180
2,28,2010,10,17,2,02,52,248,3,328,926,136.308,270,157.574,247.574
2,28,2010,10,17,2,02,52,248,4,1538,794,214.597,305,129.327,219.327
2,28,2010,10,17,2,03,01,252,2,498,86,260.377,70,93.082,356.918
2,28,2010,10,17,2,03,01,252,1,560,698,113.437,270,170.87,260.87
2,28,2010,10,17,2,03,06,735,3,192,1894,148.337,270,176.135,266.135
2,28,2010,10,17,2,03,06,735,1,368,646,350.554,40,120.515,329.485
